,Unnamed: 0,Title,Search,Location,Company,detail_url
0,4,Data Scientist,Data+scientist,"Chicago, IL",        Synchrony,/rc/clk?jk=619f469f4881f114&fccid=bfac37d9f1a8a5a2&vjs=3
1,5,FBI Intelligence Analyst,Data+scientist,"Chicago, IL",        Federal Bureau of Investigation,/company/Federal-Bureau-of-Investigation/jobs/FBI-Intelligence-Analyst-53d9058a16f598b4?fccid=bb9753e84dda10e5&vjs=3
2,6,Data Scientist,Data+scientist,"Chicago, IL",        Trunk Club,/rc/clk?jk=993c4712bb3a0a52&fccid=0071370f02db63ca&vjs=3
3,7,"Data Scientist, Customer Insights",Data+scientist,"Chicago, IL 60654 (Loop area)",        Groupon,/rc/clk?jk=4299d0cb3d242cb8&fccid=863ad2cc91c92c82&vjs=3
4,8,Credit Audit Data Scientist & Analyst,Data+scientist,"Chicago, IL",        BMO Financial Group,/company/BMO-Harris-Bank/jobs/Credit-Audit-Data-Scientist-Analyst-2da05a464d53f4dc?fccid=c9b51b880e5f15f6&vjs=3
5,9,Data Scientist,Data+scientist,"Chicago, IL 60606 (Loop area)",        Numerator,/rc/clk?jk=97cbcb6aa8a53cf4&fccid=11f2ca9fb7278374&vjs=3
6,10,Data Scientist,Data+scientist,"Chicago, IL",        ActiveCampaign,/rc/clk?jk=24587a316659ebfb&fccid=9c2be00e2f57adbd&vjs=3
7,11,Associate Data Scientist Intern,Data+scientist,"Chicago, IL 60603 (Loop area)",        The Marketing Store,/rc/clk?jk=4f6c01fe6410709f&fccid=a5a3009925a5090f&vjs=3
8,12,Associate Data Scientist,Data+scientist,"Chicago, IL","        Blue Cross Blue Shield of IL, MT, NM, OK & TX",/rc/clk?jk=cacf4449907b563d&fccid=f0982fe98d8ebba0&vjs=3
9,13,Data Scientist Associate,Data+scientist,"Schaumburg, IL 60173",        Zurich North America,/rc/clk?jk=cb2c41d968993fe1&fccid=34938366d45106af&vjs=3
10,21,Data Scientist,Data+scientist,"Chicago, IL 60606 (Loop area)","        Vizient, Inc.",/rc/clk?jk=00a2122fbb983011&fccid=ab22e7c357e67bd4&vjs=3
11,22,Data Scientist,Data+scientist,"Chicago, IL",        Outcome Health,/rc/clk?jk=0e91006ece191562&fccid=e5527a9384bb62d1&vjs=3
12,23,Data Scientist,Data+scientist,"Chicago, IL 60601 (Loop area)",        Catalina Marketing,/rc/clk?jk=8d5a79f14333dfaf&fccid=7cb8926c790321ab&vjs=3
13,24,Data Scientist,Data+scientist,"Chicago, IL",        Peak6,/rc/clk?jk=e121d946316e44e6&fccid=7e9afa700659af5d&vjs=3
14,25,Data Scientist (Chicago),Data+scientist,"Chicago, IL",        QuantumBlack,/rc/clk?jk=5dc616d64b9d4b3e&fccid=0ca81e4238390a2d&vjs=3
15,26,Cyber Security Data Scientist,Data+scientist,"Chicago, IL 60603 (Loop area)",        Bank of America,/rc/clk?jk=e93b64a10314c20d&fccid=5bd99dfa21c8a490&vjs=3
16,27,Associate Data Scientist,Data+scientist,"Schaumburg, IL 60173",        Zurich North America,/rc/clk?jk=d6a8b17d24798434&fccid=34938366d45106af&vjs=3
17,28,Data Scientist,Data+scientist,"Chicago, IL",        Kantar Media,/rc/clk?jk=954e79e24ab269c4&fccid=2a934ca7fdc2bbf3&vjs=3
18,29,Data Scientist,Data+scientist,"Chicago, IL",        devwrx,/rc/clk?jk=fc8388c2504aa760&fccid=d6e9c6cbc99139ec&vjs=3
19,30,"Data Scientist / Quantitative Researcher, Systematic Trading",Data+scientist,"Chicago, IL",        DRW,/rc/clk?jk=e9ccb8c1fdf5c84a&fccid=d9e7c4d795860e0c&vjs=3
20,36,Data Scientist I,Data+scientist,"Chicago, IL",        American Family Insurance,/rc/clk?jk=4210c91197d505d8&fccid=e5c4515812210aed&vjs=3
21,37,"Data Scientist / Quantitative Researcher, Systematic Trading",Data+scientist,"Chicago, IL",        DRW Trading Group,/rc/clk?jk=1a9b6607a2db2e4a&fccid=42ccd87a2c182a30&vjs=3
22,38,Machine Learning Scientist I,Data+scientist,"Chicago, IL 60661 (Near West Side area)",        Expedia,/rc/clk?jk=96d5311f19b64396&fccid=160efb82f2462f14&vjs=3
23,39,Data Scientist,Data+scientist,"Chicago, IL",        The Jellyvision Lab,/rc/clk?jk=0ea4ac5b854d6f78&fccid=25fa848f36bbcbe3&vjs=3
24,40,Data Scientist,Data+scientist,"Chicago, IL",        Scienaptic Systems Inc,/company/Scienaptic-Systems/jobs/Data-Scientist-266fb0c12400979f?fccid=54ec67e206f13fdb&vjs=3
25,41,Data Scientist,Data+scientist,"Chicago, IL 60611 (Near North Side area)",        FastModel Sports,/rc/clk?jk=5d4b9892bf36f524&fccid=630d7c575c7abd13&vjs=3
